is_generator,own,entity,years,hour,offer,limit,taken,price
True,False,Wind (On+Offshore),1,81,0.0,6.394082485853946,0.0,100.0
True,False,Wind (On+Offshore),1,82,0.0,5.987593128802186,0.0,100.0
True,False,Wind (On+Offshore),1,83,0.0,5.384799952073361,0.0,125.0
True,False,Wind (On+Offshore),1,84,0.0,5.026651635474524,0.0,125.0
True,False,Wind (On+Offshore),1,85,0.0,4.84798576298974,0.0,125.0
True,False,Wind (On+Offshore),1,86,0.0,4.74477110904972,0.0,125.0
True,False,Wind (On+Offshore),1,87,0.0,4.481508415772323,0.0,124.99999999999999
True,False,Wind (On+Offshore),1,88,0.0,4.2724660786786135,0.0,100.0
True,False,Wind (On+Offshore),1,89,0.0,4.428104631217917,0.0,100.0
True,False,Wind (On+Offshore),1,90,0.0,4.64090319780628,0.0,100.0
True,False,Wind (On+Offshore),1,91,0.0,4.921150580972539,0.0,100.0
True,False,Wind (On+Offshore),1,92,0.0,5.104225940255394,0.0,100.0
True,False,Wind (On+Offshore),1,93,0.0,5.262150893356658,0.0,100.0
True,False,Wind (On+Offshore),1,94,0.0,5.280442097852359,0.0,100.0
True,False,Wind (On+Offshore),1,95,0.0,5.092630623119725,0.0,100.0
True,False,Wind (On+Offshore),1,96,0.0,6.175731232186525,0.0,100.0
True,False,Wind (On+Offshore),1,97,0.0,6.227175244830682,0.0,100.0
True,False,Wind (On+Offshore),1,98,0.0,6.219826100167232,0.0,100.0
True,False,Wind (On+Offshore),1,99,0.0,6.134902650722912,0.0,100.0
True,False,Wind (On+Offshore),1,100,0.0,6.007027533578866,0.0,100.0
True,False,Wind (On+Offshore),1,101,0.0,5.811866914182782,0.0,100.0
True,False,Wind (On+Offshore),1,102,0.0,5.590086059672421,0.0,100.0
True,False,Wind (On+Offshore),1,103,0.0,5.365365547296681,0.0,100.0
True,False,Wind (On+Offshore),1,104,0.0,4.904002576757821,0.0,100.0
True,False,Wind (On+Offshore),1,105,0.0,4.596318386848012,0.0,100.0
True,False,Wind (On+Offshore),1,106,0.0,4.2073036626626825,0.0,100.0
True,False,Wind (On+Offshore),1,107,0.0,3.908601760674867,0.0,124.99999999999999
True,False,Wind (On+Offshore),1,108,0.0,3.599774370484078,0.0,125.0
True,False,Wind (On+Offshore),1,109,0.0,3.4410328457535395,0.0,124.99999999999999
True,False,Wind (On+Offshore),1,110,0.0,3.3072784128787336,0.0,124.99999999999999
True,False,Wind (On+Offshore),1,111,0.0,3.14249425809158,0.0,125.0
True,False,Wind (On+Offshore),1,112,0.0,2.9566425552692026,0.0,125.0
True,False,Wind (On+Offshore),1,113,0.0,3.0177221131387717,0.0,100.0
True,False,Wind (On+Offshore),1,114,0.0,3.108524878313853,0.0,100.0
True,False,Wind (On+Offshore),1,115,0.0,3.3195269873178197,0.0,100.0
True,False,Wind (On+Offshore),1,116,0.0,3.6180655749797785,0.0,100.0
True,False,Wind (On+Offshore),1,117,0.0,3.8934135283704014,0.0,100.0
True,False,Wind (On+Offshore),1,118,0.0,4.066200085124427,0.0,100.0
True,False,Wind (On+Offshore),1,119,0.0,4.359022671381477,0.0,100.0
True,False,Wind (On+Offshore),1,120,0.0,4.1081718668690215,0.0,100.0
True,False,Wind (On+Offshore),1,121,0.0,4.354286555931697,0.0,100.0
True,False,Wind (On+Offshore),1,122,0.0,4.49081733234603,0.0,100.0
True,False,Wind (On+Offshore),1,123,0.0,4.647109142188751,0.0,100.0
True,False,Wind (On+Offshore),1,124,0.0,4.824468500066699,0.0,100.0
True,False,Wind (On+Offshore),1,125,0.0,5.078748905422098,0.0,100.0
True,False,Wind (On+Offshore),1,126,0.0,5.3505039436439255,0.0,100.0
True,False,Wind (On+Offshore),1,127,0.0,5.901036536099319,0.0,100.0
True,False,Wind (On+Offshore),1,128,0.0,6.079049151280684,0.0,100.0
True,False,Wind (On+Offshore),1,129,0.0,6.146008024881016,0.0,100.0
True,False,Wind (On+Offshore),1,130,0.0,6.032014625434599,0.0,125.0
True,False,Wind (On+Offshore),1,131,0.0,5.784430107439235,0.0,125.0
True,False,Wind (On+Offshore),1,132,0.0,5.723350549569663,0.0,125.0
True,False,Wind (On+Offshore),1,133,0.0,6.094727326562714,0.0,125.0
True,False,Wind (On+Offshore),1,134,0.0,6.611453853566235,0.0,125.0
True,False,Wind (On+Offshore),1,135,0.0,7.139122440402005,0.0,124.99999999999999
True,False,Wind (On+Offshore),1,136,0.0,7.632984961785905,0.0,125.0
True,False,Wind (On+Offshore),1,137,0.0,8.449393276732366,0.0,100.0
True,False,Wind (On+Offshore),1,138,0.0,9.358727443090014,0.0,100.0
True,False,Wind (On+Offshore),1,139,0.0,10.115036086122036,0.0,100.0
True,False,Wind (On+Offshore),1,140,0.0,10.910866796010836,0.0,100.0
True,False,Wind (On+Offshore),1,141,0.0,11.745403001127144,0.0,100.0
True,False,Wind (On+Offshore),1,142,0.0,12.48178729640492,0.0,100.0
True,False,Wind (On+Offshore),1,143,0.0,13.017131656555849,0.0,100.0
